country,infected,deaths,recovered,death_percent,recovered_percent
USA,35689184,629072,29652042,1.8,83.1
India,31613993,423842,30781263,1.3,97.4
Brazil,19880273,555512,18595380,2.8,93.5
Russia,6265873,158563,5608619,2.5,89.5
France,6103548,111824,5696619,1.8,93.3
UK,5856528,129654,4508650,2.2,77.0
Turkey,5704713,51253,5449253,0.9,95.5
Argentina,4919408,105586,4557037,2.1,92.6
Colombia,4776291,120432,4567701,2.5,95.6
Spain,4447044,81486,3711200,1.8,83.5
Italy,4350028,128063,4134680,2.9,95.0
Iran,3871008,90630,3367272,2.3,87.0
Germany,3775579,92165,3653300,2.4,96.8
Indonesia,3409658,94119,2770092,2.8,81.2
Poland,2882939,75261,2653700,2.6,92.0
Mexico,2829443,240456,2204109,8.5,77.9
South Africa,2435036,71679,2207960,2.9,90.7
Ukraine,2252785,52945,2186863,2.4,97.1
Peru,2109294,196291,1720665,9.3,81.6
Netherlands,1865511,17827,1668004,1.0,89.4
Czech Republic,1673576,30373,1640314,1.8,98.0
Iraq,1626599,18657,1464273,1.1,90.0
Chile,1615771,35448,1570492,2.2,97.2
Philippines,1588965,27889,1500189,1.8,94.4
Canada,1430483,26592,1397451,1.9,97.7
Bangladesh,1249484,20685,1078212,1.7,86.3
Belgium,1124715,25241,1058072,2.2,94.1
Malaysia,1113272,9024,914639,0.8,82.2
Sweden,1100040,14618,1076030,1.3,97.8
Romania,1083189,34281,1047723,3.2,96.7
Pakistan,1029811,23360,940164,2.3,91.3
Portugal,968631,17361,902014,1.8,93.1
Japan,913755,15184,834967,1.7,91.4
Israel,871343,6469,848474,0.7,97.4
Hungary,809491,30026,748157,3.7,92.4
Jordan,770150,10020,750141,1.3,97.4
Serbia,721918,7114,710555,1.0,98.4
Switzerland,717665,10906,692101,1.5,96.4
Nepal,695389,9857,654177,1.4,94.1
UAE,680858,1949,658198,0.3,96.7
Austria,659056,10737,643027,1.6,97.6
Morocco,615999,9732,557408,1.6,90.5
Thailand,597287,4857,391920,0.8,65.6
Tunisia,586146,19503,505497,3.3,86.2
Kazakhstan,572576,5866,473344,1.0,82.7
Lebanon,560396,7903,536963,1.4,95.8
Saudi Arabia,525730,8237,506089,1.6,96.3
Greece,493304,12940,446985,2.6,90.6
Ecuador,486544,31591,443880,6.5,91.2
Bolivia,471958,17784,405853,3.8,86.0
Paraguay,452085,14929,419028,3.3,92.7
Belarus,446040,3454,440200,0.8,98.7
Panama,434460,6808,415265,1.6,95.6
Bulgaria,424872,18211,398536,4.3,93.8
Georgia,419534,5820,382393,1.4,91.1
Costa Rica,406814,5030,329639,1.2,81.0
Kuwait,397098,2314,382826,0.6,96.4
Slovakia,392647,12540,379535,3.2,96.7
Uruguay,381364,5959,373290,1.6,97.9
Cuba,375721,2693,329811,0.7,87.8
Guatemala,365528,10289,319323,2.8,87.4
Croatia,363615,8259,354238,2.3,97.4
Azerbaijan,343216,5022,332752,1.5,97.0
Dominican Republic,341510,3956,320755,1.2,93.9
Denmark,316807,2549,303182,0.8,95.7
Palestine,316738,3603,311832,1.1,98.5
Sri Lanka,308812,4436,277118,1.4,89.7
Venezuela,304726,3576,288864,1.2,94.8
Ireland,299549,5035,267301,1.7,89.2
Myanmar,299185,9334,209512,3.1,70.0
Honduras,297111,7834,100697,2.6,33.9
Oman,295857,3814,278195,1.3,94.0
Egypt,284215,16518,229712,5.8,80.8
